Designation,Team,Player Name,Ranking
Batter,Chennai Super Kings,Ruturaj Gaikwad,125
Middle order Batter,Chennai Super Kings,Dewald Brevis,79
Wicketkeeper Batter,Chennai Super Kings,MS Dhoni,83
Wicketkeeper Batter,Chennai Super Kings,Kartik Sharma,
Middle order Batter,Chennai Super Kings,Sarfaraz Khan,
Top order Batter,Chennai Super Kings,Ayush Mhatre,87
Wicketkeeper Batter,Chennai Super Kings,Urvil Patel,141
Wicketkeeper Batter,Chennai Super Kings,Sanju Samson,80
Allrounder,Chennai Super Kings,Aman Khan,
Allrounder,Chennai Super Kings,Shivam Dube,68
Allrounder,Chennai Super Kings,Zak Foulkes,
Bowling Allrounder,Chennai Super Kings,Ramakrishna Ghosh,192
Bowling Allrounder,Chennai Super Kings,Anshul Kamboj,94
Bowling Allrounder,Chennai Super Kings,Jamie Overton,193
Allrounder,Chennai Super Kings,Matthew Short,
Bowling Allrounder,Chennai Super Kings,Prashant Veer,
Bowler,Chennai Super Kings,Khaleel Ahmed,48
Bowler,Chennai Super Kings,Rahul Chahar,189
Bowler,Chennai Super Kings,Spencer Johnson,168
Bowler,Chennai Super Kings,Shreyas Gopal,192
Bowler,Chennai Super Kings,Gurjapneet Singh,192
Bowler,Chennai Super Kings,Matt Henry,
Bowler,Chennai Super Kings,Akeal Hosein,
Bowler,Chennai Super Kings,Mukesh Choudhary,173
Bowler,Chennai Super Kings,Noor Ahmad,5
Wicketkeeper Batter,Delhi Capitals,Abishek Porel,77
Middle order Batter,Delhi Capitals,David Miller,118
Top order Batter,Delhi Capitals,Karun Nair,102
Top order Batter,Delhi Capitals,Pathum Nissanka,
Top order Batter,Delhi Capitals,Sahil Parakh,
Wicketkeeper Batter,Delhi Capitals,KL Rahul,21
Middle order Batter,Delhi Capitals,Nitish Rana,96
Opening Batter,Delhi Capitals,Prithvi Shaw,
Batter,Delhi Capitals,Tristan Stubbs,69
Allrounder,Delhi Capitals,Axar Patel,46
Allrounder,Delhi Capitals,Ajay Mandal,192
Allrounder,Delhi Capitals,Sameer Rizvi,119
Allrounder,Delhi Capitals,Ashutosh Sharma,92
Allrounder,Delhi Capitals,Madhav Tiwari,187
Bowler,Delhi Capitals,Auqib Nabi,
Bowler,Delhi Capitals,Dushmantha Chameera,146
Bowler,Delhi Capitals,Kyle Jamieson,117
Bowler,Delhi Capitals,Kuldeep Yadav,40
Bowler,Delhi Capitals,Mukesh Kumar,59
Bowler,Delhi Capitals,T Natarajan,180
Bowler,Delhi Capitals,Lungi Ngidi,134
Bowler,Delhi Capitals,Vipraj Nigam,39
Bowler,Delhi Capitals,Mitchell Starc,36
Bowler,Delhi Capitals,Tripurana Vijay,192
Top order Batter,Gujarat Titans,Shubman Gill,6
Wicketkeeper Batter,Gujarat Titans,Anuj Rawat,192
Wicketkeeper Batter,Gujarat Titans,Tom Banton,
Wicketkeeper Batter,Gujarat Titans,Jos Buttler,15
Wicketkeeper Batter,Gujarat Titans,Kumar Kushagra,192
Top order Batter,Gujarat Titans,Sai Sudharsan,1
Batter,Gujarat Titans,M Shahrukh Khan,99
Bowling Allrounder,Gujarat Titans,Jason Holder,
Allrounder,Gujarat Titans,Glenn Phillips,192
Bowling Allrounder,Gujarat Titans,Rashid Khan,72
Allrounder,Gujarat Titans,Nishant Sindhu,192
Bowling Allrounder,Gujarat Titans,Manav Suthar,192
Bowling Allrounder,Gujarat Titans,Rahul Tewatia,136
Bowling Allrounder,Gujarat Titans,Washington Sundar,105
Bowler,Gujarat Titans,Arshad Khan,108
Bowler,Gujarat Titans,Ashok Sharma,192
Bowler,Gujarat Titans,Gurnoor Brar,192
Bowler,Gujarat Titans,Mohammed Siraj,25
Bowler,Gujarat Titans,Prasidh Krishna,3
Bowler,Gujarat Titans,Kulwant Khejroliya,162
Bowler,Gujarat Titans,Kagiso Rabada,158
Bowler,Gujarat Titans,Sai Kishore,30
Bowler,Gujarat Titans,Ishant Sharma,128
Bowler,Gujarat Titans,Luke Wood,
Bowler,Gujarat Titans,Jayant Yadav,192
Top order Batter,Kolkata Knight Riders,Ajinkya Rahane,52
Top order Batter,Kolkata Knight Riders,Finn Allen,
Wicketkeeper Batter,Kolkata Knight Riders,Tejasvi Dahiya,
Top order Batter,Kolkata Knight Riders,Manish Pandey,145
Middle order Batter,Kolkata Knight Riders,Rovman Powell,185
Top order Batter,Kolkata Knight Riders,Angkrish Raghuvanshi,85
Middle order Batter,Kolkata Knight Riders,Ramandeep Singh,149
Opening Batter,Kolkata Knight Riders,Sarthak Ranjan,
Wicketkeeper Batter,Kolkata Knight Riders,Tim Seifert,192
Middle order Batter,Kolkata Knight Riders,Rinku Singh,95
Top order Batter,Kolkata Knight Riders,Rahul Tripathi,161
Allrounder,Kolkata Knight Riders,Daksh Kamra,
Allrounder,Kolkata Knight Riders,Cameron Green,
Bowling Allrounder,Kolkata Knight Riders,Sunil Narine,7
Allrounder,Kolkata Knight Riders,Rachin Ravindra,116
Allrounder,Kolkata Knight Riders,Anukul Roy,169
Bowler,Kolkata Knight Riders,Saurabh Dubey,
Bowler,Kolkata Knight Riders,Vaibhav Arora,32
Bowler,Kolkata Knight Riders,Navdeep Saini,
Bowler,Kolkata Knight Riders,Kartik Tyagi,
Bowler,Kolkata Knight Riders,Blessing Muzarabani,192
Bowler,Kolkata Knight Riders,Matheesha Pathirana,70
Bowler,Kolkata Knight Riders,Prashant Solanki,
Bowler,Kolkata Knight Riders,Umran Malik,192
Bowler,Kolkata Knight Riders,Varun Chakravarthy,31
Wicketkeeper Batter,Lucknow Super Giants,Rishabh Pant,88
Batter,Lucknow Super Giants,Abdul Samad,106
Middle order Batter,Lucknow Super Giants,Akshat Raghuwanshi,
Batter,Lucknow Super Giants,Ayush Badoni,49
Batter,Lucknow Super Giants,Matthew Breetzke,185
Middle order Batter,Lucknow Super Giants,Mukul Choudhary,
Batter,Lucknow Super Giants,Himmat Singh,184
Wicketkeeper Batter,Lucknow Super Giants,Josh Inglis,57
Middle order Batter,Lucknow Super Giants,Aiden Markram,19
Wicketkeeper Batter,Lucknow Super Giants,Nicholas Pooran,16
Allrounder,Lucknow Super Giants,Wanindu Hasaranga,81
Allrounder,Lucknow Super Giants,Arshin Kulkarni,192
Allrounder,Lucknow Super Giants,Mitchell Marsh,12
Allrounder,Lucknow Super Giants,Shahbaz Ahmed,178
Bowler,Lucknow Super Giants,Akash Singh,131
Bowler,Lucknow Super Giants,Avesh Khan,62
Bowler,Lucknow Super Giants,Mohammed Shami,121
Bowler,Lucknow Super Giants,Mohsin Khan,192
Bowler,Lucknow Super Giants,Anrich Nortje,172
Bowler,Lucknow Super Giants,Prince Yadav,135
Bowler,Lucknow Super Giants,Digvesh Rathi,47
Bowler,Lucknow Super Giants,Manimaran Siddharth,152
Bowler,Lucknow Super Giants,Arjun Tendulkar,192
Bowler,Lucknow Super Giants,Naman Tiwari,
Bowler,Lucknow Super Giants,Mayank Yadav,154
Wicketkeeper Batter,Mumbai Indians,Quinton de Kock,114
Top order Batter,Mumbai Indians,Danish Malewar,
Wicketkeeper Batter,Mumbai Indians,Robin Minz,196
Wicketkeeper Batter,Mumbai Indians,Ryan Rickelton,26
Middle order Batter,Mumbai Indians,Sherfane Rutherford,78
Top order Batter,Mumbai Indians,Rohit Sharma,41
Batter,Mumbai Indians,Suryakumar Yadav,2
Allrounder,Mumbai Indians,Hardik Pandya,22
Allrounder,Mumbai Indians,Raj Bawa,183
Allrounder,Mumbai Indians,Corbin Bosch,143
Allrounder,Mumbai Indians,Will Jacks,43
Allrounder,Mumbai Indians,Mayank Rawat,
Allrounder,Mumbai Indians,Naman Dhir,67
Bowling Allrounder,Mumbai Indians,Mitchell Santner,53
Bowling Allrounder,Mumbai Indians,Shardul Thakur,61
Allrounder,Mumbai Indians,Tilak Varma,60
Bowler,Mumbai Indians,Ashwani Kumar,74
Bowler,Mumbai Indians,Trent Boult,13
Bowler,Mumbai Indians,Jasprit Bumrah,20
Bowler,Mumbai Indians,Deepak Chahar,63
Bowler,Mumbai Indians,AM Ghazanfar,
Bowler,Mumbai Indians,Mayank Markande,192
Bowler,Mumbai Indians,Mohd Izhar,
Bowler,Mumbai Indians,Raghu Sharma,192
Top order Batter,Punjab Kings,Shreyas Iyer,4
Opening Batter,Punjab Kings,Priyansh Arya,17
Batter,Punjab Kings,Pyla Avinash,192
Batter,Punjab Kings,Harnoor Singh,192
Wicketkeeper Batter,Punjab Kings,Prabhsimran Singh,9
Wicketkeeper Batter,Punjab Kings,Vishnu Vinod,192
Top order Batter,Punjab Kings,Nehal Wadhera,56
Allrounder,Punjab Kings,Azmatullah Omarzai,97
Allrounder,Punjab Kings,Cooper Connolly,
Bowling Allrounder,Punjab Kings,Marco Jansen,28
Allrounder,Punjab Kings,Musheer Khan,181
Allrounder,Punjab Kings,Mitchell Owen,182
Allrounder,Punjab Kings,Shashank Singh,55
Allrounder,Punjab Kings,Marcus Stoinis,113
Allrounder,Punjab Kings,Suryansh Shedge,188
Bowler,Punjab Kings,Arshdeep Singh,14
Bowler,Punjab Kings,Xavier Bartlett,137
Bowler,Punjab Kings,Yuzvendra Chahal,38
Bowler,Punjab Kings,Praveen Dubey,167
Bowler,Punjab Kings,Ben Dwarshuis,
Bowler,Punjab Kings,Lockie Ferguson,122
Bowler,Punjab Kings,Harpreet Brar,75
Bowler,Punjab Kings,Vishal Nishad,
Bowler,Punjab Kings,Vijaykumar Vyshak,133
Bowler,Punjab Kings,Yash Thakur,174
Opening Batter,Rajasthan Royals,Aman Rao,
Middle order Batter,Rajasthan Royals,Shubham Dubey,129
Middle order Batter,Rajasthan Royals,Shimron Hetmyer,82
Opening Batter,Rajasthan Royals,Yashasvi Jaiswal,18
Wicketkeeper Batter,Rajasthan Royals,Dhruv Jurel,66
Top order Batter,Rajasthan Royals,Riyan Parag,33
Wicketkeeper Batter,Rajasthan Royals,Lhuan-dre Pretorius,192
Middle order Batter,Rajasthan Royals,Ravi Singh,
Top order Batter,Rajasthan Royals,Vaibhav Sooryavanshi,76
Allrounder,Rajasthan Royals,Dasun Shanaka,192
Allrounder,Rajasthan Royals,Donovan Ferreira,191
Allrounder,Rajasthan Royals,Ravindra Jadeja,29
Bowler,Rajasthan Royals,Jofra Archer,50
Bowler,Rajasthan Royals,Brijesh Sharma,
Bowler,Rajasthan Royals,Nandre Burger,192
Bowler,Rajasthan Royals,Tushar Deshpande,101
Bowler,Rajasthan Royals,Kwena Maphaka,156
Bowler,Rajasthan Royals,Adam Milne,
Bowler,Rajasthan Royals,Sushant Mishra,
Bowler,Rajasthan Royals,Vignesh Puthur,112
Bowler,Rajasthan Royals,Ravi Bishnoi,90
Bowler,Rajasthan Royals,Sandeep Sharma,103
Bowler,Rajasthan Royals,Kuldeep Sen,192
Bowler,Rajasthan Royals,Yash Raj Punja,
Bowler,Rajasthan Royals,Yudhvir Singh,138
Top order Batter,Royal Challengers Bengaluru,Rajat Patidar,64
Wicketkeeper Batter,Royal Challengers Bengaluru,Jordan Cox,
Middle order Batter,Royal Challengers Bengaluru,Tim David,84
Top order Batter,Royal Challengers Bengaluru,Virat Kohli,11
Top order Batter,Royal Challengers Bengaluru,Devdutt Padikkal,91
Wicketkeeper Batter,Royal Challengers Bengaluru,Phil Salt,34
Wicketkeeper Batter,Royal Challengers Bengaluru,Jitesh Sharma,44
Allrounder,Royal Challengers Bengaluru,Jacob Bethell,147
Bowling Allrounder,Royal Challengers Bengaluru,Kanishk Chouhan,
Allrounder,Royal Challengers Bengaluru,Venkatesh Iyer,115
Allrounder,Royal Challengers Bengaluru,Vihaan Malhotra,
Allrounder,Royal Challengers Bengaluru,Mangesh Yadav,
Allrounder,Royal Challengers Bengaluru,Krunal Pandya,8
Bowling Allrounder,Royal Challengers Bengaluru,Romario Shepherd,86
Bowler,Royal Challengers Bengaluru,Abhinandan Singh,192
Bowler,Royal Challengers Bengaluru,Satvik Deswal,
Bowler,Royal Challengers Bengaluru,Jacob Duffy,
Bowler,Royal Challengers Bengaluru,Josh Hazlewood,10
Bowler,Royal Challengers Bengaluru,Bhuvneshwar Kumar,35
Bowler,Royal Challengers Bengaluru,Vicky Ostwal,
Bowler,Royal Challengers Bengaluru,Rasikh Salam,164
Bowler,Royal Challengers Bengaluru,Suyash Sharma,73
Bowler,Royal Challengers Bengaluru,Swapnil Singh,192
Bowler,Royal Challengers Bengaluru,Nuwan Thushara,163
Bowler,Royal Challengers Bengaluru,Yash Dayal,65
Wicketkeeper Batter,Sunrisers Hyderabad,Salil Arora,
Middle order Batter,Sunrisers Hyderabad,Travis Head,51
Wicketkeeper Batter,Sunrisers Hyderabad,Ishan Kishan,45
Wicketkeeper Batter,Sunrisers Hyderabad,Heinrich Klaasen,23
Batter,Sunrisers Hyderabad,Ravichandran Smaran,192
Batter,Sunrisers Hyderabad,Aniket Verma,88
Allrounder,Sunrisers Hyderabad,Abhishek Sharma,24
Bowling Allrounder,Sunrisers Hyderabad,Brydon Carse,192
Bowling Allrounder,Sunrisers Hyderabad,Harsh Dubey,122
Allrounder,Sunrisers Hyderabad,David Payne,
Bowling Allrounder,Sunrisers Hyderabad,Krains Fuletra,
Allrounder,Sunrisers Hyderabad,Liam Livingstone,110
Allrounder,Sunrisers Hyderabad,Kamindu Mendis,124
Allrounder,Sunrisers Hyderabad,Nitish Kumar Reddy,100
Bowling Allrounder,Sunrisers Hyderabad,Harshal Patel,42
Bowling Allrounder,Sunrisers Hyderabad,Shivam Mavi,
Bowling Allrounder,Sunrisers Hyderabad,Shivang Kumar,
Bowler,Sunrisers Hyderabad,Pat Cummins,27
Bowler,Sunrisers Hyderabad,Amit Kumar,
Bowler,Sunrisers Hyderabad,Praful Hinge,
Bowler,Sunrisers Hyderabad,Eshan Malinga,54
Bowler,Sunrisers Hyderabad,Sakib Hussain,
Bowler,Sunrisers Hyderabad,Onkar Tarmale,
Bowler,Sunrisers Hyderabad,Jaydev Unadkat,71
Bowler,Sunrisers Hyderabad,Zeeshan Ansari,109
